Compound_name;Filename;Dilution;Concentration (M) in the separate mixes;SMILES;ret_time;Peak_Area;conc_M;MW;IC;Peak_Area_IC;slope;intercept;pH;mode
Acephate;2021062101-pH10-M-005ppm-FS;50;7.97e-5;CC(=O)NP(=O)(OC)SC;1.5088248;15353382.0487203;1.9925000000000001e-7;183.166;110.99468708574254;1704143836.2055664;8727838614282889;-154671771.42842382;10;positive
Acephate;2021062101-pH10-M-01ppm-FS;100;7.97e-5;CC(=O)NP(=O)(OC)SC;1.5088248;31297959.1043701;3.9850000000000003e-7;183.166;110.99468708574254;3473907177.211926;8727838614282889;-154671771.42842382;10;positive
Acephate;2021062101-pH10-M-05ppm-FS;500;7.97e-5;CC(=O)NP(=O)(OC)SC;1.5088248;159097622.446635;1.9925e-6;183.166;110.99468708574254;17658990819.549862;8727838614282889;-154671771.42842382;10;positive
Acephate;2021062101-pH10-M-1ppm-FS;1000;7.97e-5;CC(=O)NP(=O)(OC)SC;1.5088248;301554830.437079;3.985e-6;183.166;110.99468708574254;33470984043.557735;8727838614282889;-154671771.42842382;10;positive
Acephate;2021062101-pH10-M-2ppm-FS;2000;7.97e-5;CC(=O)NP(=O)(OC)SC;1.5088248;629464451.904433;7.97e-6;183.166;110.99468708574254;69867209870.73097;8727838614282889;-154671771.42842382;10;positive
Propylthiouracil;2021062101-pH10-M-01ppm-FS;100;9.1e-5;CCCc1cc(nc(n1)S)O;1.7472744;19254.6592248047;4.550000000000001e-7;170.232;114.47029064729779;2204086.437778068;10582475875842.05;-2820990.010444734;10;positive
Propylthiouracil;2021062101-pH10-M-05ppm-FS;500;9.1e-5;CCCc1cc(nc(n1)S)O;1.7472744;182370.9245828;2.2750000000000002e-6;170.232;114.47029064729779;20876052.742609542;10582475875842.05;-2820990.010444734;10;positive
Propylthiouracil;2021062101-pH10-M-1ppm-FS;1000;9.1e-5;CCCc1cc(nc(n1)S)O;1.7472744;397459.593289522;4.5500000000000005e-6;170.232;114.47029064729779;45497315.16440835;10582475875842.05;-2820990.010444734;10;positive
Propylthiouracil;2021062101-pH10-M-2ppm-FS;2000;9.1e-5;CCCc1cc(nc(n1)S)O;1.7472744;1229610.73274339;9.100000000000001e-6;170.232;114.47029064729779;140753897.96017265;10582475875842.05;-2820990.010444734;10;positive
Citrulline;2021062101-pH10-M-05ppm-FS;500;9.21e-5;N=C(O)NCCCC(N)C(=O)O;1.5088248;41751.5732681982;2.3025000000000004e-6;175.186;108.64118932444913;4535940.57602393;3201663413663.634;-2902547.89482494;10;positive
Citrulline;2021062101-pH10-M-1ppm-FS;1000;9.21e-5;N=C(O)NCCCC(N)C(=O)O;1.5088248;108072.495402269;4.605000000000001e-6;175.186;108.64118932444913;11741124.433763565;3201663413663.634;-2902547.89482494;10;positive
Citrulline;2021062101-pH10-M-2ppm-FS;2000;9.21e-5;N=C(O)NCCCC(N)C(=O)O;1.5088248;245009.296575061;9.210000000000002e-6;175.186;108.64118932444913;26618101.375461306;3201663413663.634;-2902547.89482494;10;positive
Sulfapyridine;2021062101-pH10-M-005ppm-FS;50;6.39e-5;c1(S(Nc2ccccn2)(=O)=O)ccc(N)cc1;1.9017282;3663965.8461012;1.5975e-7;249.289;120.10060252404547;440044505.7442782;3034373048160309;-9629193.817284836;10;positive
