Compound_name;mean_c;median_c;Linear_6tR_st_61_c_pred;MLR_3tR_st61_c_pred;MLR_2tR_st61_c_pred;knn_st61_1tR_c_pred;knn_st20_1tR_c_pred;knn_3tR_st61_c_pred;knn_2tR_st61_c_pred;Cosine_c_pred;conc_M
1H-Benzotriazole;9.540920406604562e-7;3.719081061443833e-6;1.020185011351326e-6;1.7470892205699996e-6;1.6419862612234745e-6;1.1988341150554532e-5;2.4068532072311184e-6;1.90339843527558e-6;1.90339843527558e-6;1.1988341150554532e-5;1.2048501757676329e-5
1H-Benzotriazole;5.336227533846578e-7;2.0800784321548193e-6;5.705884878173851e-7;9.771453073268038e-7;9.183613240577009e-7;6.705067583254443e-6;1.3461506654497298e-6;1.064568899575667e-6;1.064568899575667e-6;6.705067583254443e-6;6.0242508788381645e-6
1H-Benzotriazole;2.4962171580995144e-7;9.730333722847735e-7;2.669138008958002e-7;4.5709574163291646e-7;4.295973662868422e-7;3.1365425558365626e-6;6.297116019077356e-7;4.979913499273776e-7;4.979913499273776e-7;3.1365425558365626e-6;3.0121254394190822e-6
1H-Benzotriazole;5.605055554050386e-8;2.184868447805021e-7;5.993335464862875e-8;1.0263718511265116e-7;9.646264533109539e-8;7.042854911906768e-7;1.413966930028693e-7;1.118199661725192e-7;1.118199661725192e-7;7.042854911906768e-7;6.024250878838165e-7
1H-Benzotriazole;2.5684075856048783e-8;1.0011734300895615e-7;2.7463292955062427e-8;4.703149188556564e-8;4.420212923971159e-8;3.2272511495420076e-7;6.479228178667739e-8;5.123932253125309e-8;5.123932253125309e-8;3.2272511495420076e-7;3.0121254394190826e-7
1H-Benzotriazole;5.574958921604731e-6;1.1915533595621925e-5;5.466474610968991e-6;7.2895931265053165e-6;6.8428721435933945e-6;1.2003782195555217e-5;1.1280824605234702e-5;9.714696899980066e-6;9.714696899980063e-6;1.2003782195555217e-5;1.2048501757676329e-5
1H-Benzotriazole;1.596867267218531e-6;5.503152558438821e-6;1.5907183447497878e-6;1.788478126999697e-6;1.7751178552909146e-6;2.0765789380137475e-6;2.0765789380137475e-6;1.9709916149560826e-6;2.396012919118568e-6;1.3715792494480287e-5;1.2048501757676329e-5
1H-Benzotriazole;2.8921053241284543e-6;6.181386918956915e-6;2.8358272318974685e-6;3.7816011540812856e-6;3.54985700112032e-6;6.227167390042519e-6;5.852120770778248e-6;5.03966522835638e-6;5.039665228356377e-6;6.227167390042519e-6;6.0242508788381645e-6
1H-Benzotriazole;9.73821056862036e-7;3.355999556473168e-6;9.700712460292895e-7;1.090671526408797e-6;1.082524002702539e-6;8.364331724289335e-6;1.2663646738757104e-6;1.2019741258057076e-6;1.4611657969640288e-6;8.364331724289335e-6;6.0242508788381645e-6
1H-Benzotriazole;1.41847498099684e-6;3.031750821538228e-6;1.3908725748389858e-6;1.8547411051807288e-6;1.7410788259321347e-6;3.0542045172288396e-6;2.8702574660286436e-6;2.471776867662147e-6;2.4717768676621462e-6;3.0542045172288396e-6;3.0121254394190822e-6
1H-Benzotriazole;5.25220646116566e-7;1.8100247915130725e-6;5.231982231523962e-7;5.882427780389699e-7;5.838484926257544e-7;4.511218649061233e-6;6.830011197082019e-7;6.482727216900865e-7;7.880651568962726e-7;4.511218649061233e-6;3.0121254394190822e-6
1H-Benzotriazole;2.76009531966298e-7;5.899237818795691e-7;2.706386038168152e-7;3.6089901564554116e-7;3.3878239538934147e-7;5.942928642543066e-7;5.585001007663901e-7;4.809629958288783e-7;4.809629958288781e-7;5.942928642543066e-7;6.024250878838165e-7
1H-Benzotriazole;1.3541191770716956e-7;2.8942011544417423e-7;1.3277690841815093e-7;1.7705920320592326e-7;1.662086577890392e-7;2.915636132385042e-7;2.7400347062527827e-7;2.3596330585903914e-7;2.3596330585903903e-7;2.915636132385042e-7;3.0121254394190826e-7
2-(Methylthio)benzothiazole;7.447029454380802e-7;2.902875721364347e-6;7.962908718106466e-7;1.2946976097246098e-6;9.429461078447001e-7;8.987975517813654e-6;4.3363096713664946e-7;9.964817925797612e-7;9.964817925797612e-7;8.987975517813654e-6;8.940006950975756e-6
2-(Methylthio)benzothiazole;3.39139210614856e-7;1.3219754087012562e-6;3.6263245545083225e-7;5.896078806142623e-7;4.2941954322294545e-7;4.093142025031e-6;1.9747640961238493e-7;4.5379980111234306e-7;4.5379980111234306e-7;4.093142025031e-6;4.470003475487878e-6
2-(Methylthio)benzothiazole;1.7623412898081458e-7;6.869662291898863e-7;1.8844242401427578e-7;3.0639049696404195e-7;2.231484204673087e-7;2.127006541851363e-6;1.0261887140446364e-7;2.3581765298004548e-7;2.3581765298004548e-7;2.127006541851363e-6;2.235001737743939e-6
2-(Methylthio)benzothiazole;3.62333589273273e-8;1.4123878330002393e-7;3.874335820156698e-8;6.29932290222223e-8;4.5878836634068487e-8;4.373079829507007e-7;2.1098219861375166e-8;4.848360366541762e-8;4.848360366541762e-8;4.373079829507007e-7;4.470003475487878e-7
2-(Methylthio)benzothiazole;1.7313465974102273e-8;6.748843997028085e-8;1.851282447455846e-8;3.010019384243509e-8;2.1922385903788287e-8;2.089598399697342e-7;1.008140902466953e-8;2.316702749106641e-8;2.316702749106641e-8;2.089598399697342e-7;2.235001737743939e-7
2-(Methylthio)benzothiazole;3.6395840083311952e-6;7.778996425838322e-6;3.5687605695046686e-6;4.348263303518459e-6;3.7873315836518237e-6;8.753538063596515e-6;3.8109946339145215e-6;3.0300225928445833e-6;3.0300225928445833e-6;8.753538063596515e-6;8.940006950975756e-6
2-(Methylthio)benzothiazole;5.302890815395773e-7;1.8274917243872179e-6;5.282471419774448e-7;7.7125491512144e-7;6.485988781403817e-7;8.355985101629717e-6;2.6623515891334805e-7;6.330148997989694e-7;8.190154135153955e-7;8.355985101629717e-6;8.940006950975756e-6
2-(Methylthio)benzothiazole;1.793831090586347e-6;3.834011142561061e-6;1.7589245501085203e-6;2.1431157753337725e-6;1.8666510045001937e-6;4.3143306199738504e-6;1.8783137426488863e-6;1.4933983443662453e-6;1.4933983443662453e-6;4.3143306199738504e-6;4.470003475487878e-6
2-(Methylthio)benzothiazole;2.450422411205225e-7;8.444689573334734e-7;2.44098677573853e-7;3.5639057913069826e-7;2.997122290852108e-7;3.861232273778629e-6;7.193949693203575e-8;2.925110003379273e-7;3.7846031424481734e-7;3.861232273778629e-6;4.470003475487878e-6
2-(Methylthio)benzothiazole;7.609884559893171e-7;1.6264843635136767e-6;7.461802198730241e-7;9.091638412535877e-7;7.918805027073053e-7;1.8302480174140438e-6;7.968281307994688e-7;6.335372969172915e-7;6.335372969172915e-7;1.8302480174140438e-6;2.235001737743939e-6
2-(Methylthio)benzothiazole;1.051674549205202e-7;3.6242996552772215e-7;1.0476249544779726e-7;1.529560372670243e-7;1.286307707492139e-7;1.6571672264887004e-6;3.0875059606084935e-8;1.2554014075746565e-7;1.624279465268664e-7;1.6571672264887004e-6;2.235001737743939e-6
2-(Methylthio)benzothiazole;1.090871837276952e-7;2.3315544039649743e-7;1.0696443303261261e-7;1.303280256209294e-7;1.1351553786306598e-7;2.623648232394454e-7;1.142247770249196e-7;9.081714573096514e-8;9.081714573096514e-8;2.623648232394454e-7;4.470003475487878e-7
2-(Methylthio)benzothiazole;5.047297535010673e-8;1.0787746455395938e-7;4.949081099453244e-8;6.03007887802241e-8;5.2521907236312966e-8;1.2139220028958962e-7;5.285006137422642e-8;4.201970755142256e-8;4.201970755142256e-8;1.2139220028958962e-7;2.235001737743939e-7
2,2-Dipyridyl;4.6003798793129127e-10;1.7932426805233942e-9;4.919062731252248e-10;1.010248909386231e-9;2.01444277935388e-10;5.801867932592334e-6;8.91878848362243e-8;1.958152512393529e-9;4.027516314658833e-10;5.801867932592334e-6;4.705885741628935e-6
2,2-Dipyridyl;1.8069875053124211e-10;7.043694657195767e-10;1.932163240081897e-10;3.9681661175969397e-10;7.91254858936334e-11;2.278921118843119e-6;8.407905679762163e-6;7.69144552453721e-10;1.5819718912250773e-10;2.278921118843119e-6;2.3529428708144673e-6
2,2-Dipyridyl;1.411019396638926e-10;5.500198399870407e-10;1.5087651692184226e-10;3.0986154273637823e-10;6.178658957859977e-11;1.7795374304714733e-6;6.565467644007762e-6;6.0060065669559e-10;1.2353118197517428e-10;1.7795374304714733e-6;4.7058857416289343e-7
2,2-Dipyridyl;6.860841600989203e-11;2.67437783530212e-10;7.336113779693242e-11;1.506649000018282e-10;3.004267731356918e-11;8.652697803147479e-7;1.3301161352787945e-8;2.92031844555358e-10;6.00649342123482e-11;8.652697803147479e-7;2.3529428708144672e-7
2,2-Dipyridyl;1.946930744473709e-6;4.161235808253816e-6;1.909045005288933e-6;2.793394146910403e-6;1.153575668589326e-6;8.546743830928767e-6;1.8125947272109648e-6;4.464232773093395e-6;1.950901932994455e-6;8.546743830928767e-6;9.41177148325787e-6
2,2-Dipyridyl;5.417627644758765e-6;1.8670325358884717e-5;5.396766441679459e-6;6.016578762262969e-6;2.6553162254103986e-6;8.200083603757854e-6;1.8670325358884717e-5;1.0715246126865543e-5;4.298528831756285e-6;8.200083603757854e-6;9.41177148325787e-6
2,2-Dipyridyl;2.8643358554015576e-6;6.1220343672698315e-6;2.808598135165042e-6;4.1096577451331935e-6;1.6971472451386163e-6;1.2574019323157242e-5;2.666699924072354e-6;6.5678052674065265e-6;2.8701782910921015e-6;1.2574019323157242e-5;4.705885741628935e-6
2,2-Dipyridyl;1.9971346941362272e-6;6.88256132942492e-6;1.9894444955543057e-6;2.2179298715265657e-6;9.788461860793112e-7;3.02284921255633e-6;6.88256132942492e-6;3.950029643856208e-6;1.5845941483170357e-6;3.02284921255633e-6;4.705885741628935e-6
2,2-Dipyridyl;1.3632150134462537e-6;2.9136419692397336e-6;1.3366879227426978e-6;1.955897430019023e-6;8.077183407940708e-7;5.984316360236397e-6;1.2691547208041283e-6;3.125796414214414e-6;1.3659955868323755e-6;5.984316360236397e-6;2.3529428708144673e-6
2,2-Dipyridyl;8.31856452792625e-7;2.866758596920442e-6;8.286532931197141e-7;9.238231556879864e-7;4.0771387056279526e-7;1.259092153707568e-6;2.866758596920442e-6;1.6452859477187613e-6;6.600230175787267e-7;1.259092153707568e-6;2.3529428708144673e-6
2,2-Dipyridyl;1.7879737747413559e-7;3.821492118705891e-7;1.7531812130175533e-7;2.5653277556834263e-7;1.0593920962376035e-7;7.848945768876814e-7;1.6646056084361304e-7;4.099750926060562e-7;1.7916207359647075e-7;7.848945768876814e-7;4.7058857416289343e-7
2,2-Dipyridyl;5.111463767811552e-8;1.0924890946215485e-7;5.011998707891257e-8;7.33376521567493e-8;3.028592696561092e-8;2.2438585218586455e-7;4.7587785544830005e-8;1.1720377900197012e-7;5.1218897094104276e-8;2.2438585218586455e-7;2.3529428708144672e-7
4-Chloroaniline;4.069118808320525e-10;1.5861554286014063e-9;4.3509995270296176e-10;8.401409661936086e-10;1.8465724963799292e-10;5.9154165547427485e-8;1.8933593641086043e-5;9.113522423258268e-10;3.2100046775288953e-10;5.13185661776897e-6;1.3025900104819551e-5
4-Chloroaniline;1.0417642440705833e-9;4.060830093426056e-9;1.113930545345343e-9;2.150905047967015e-9;4.727542476467395e-10;1.514448151013234e-7;4.847324886831349e-5;2.3332181352563015e-9;8.218162835430076e-10;1.3138433606698444e-5;6.512950052409776e-6
4-Chloroaniline;8.060283679790227e-10;3.1419241651593287e-9;8.618645001659861e-10;1.6641869745082468e-9;3.657769373970128e-10;1.1717508817353301e-7;3.750446792385835e-5;1.8052453003678587e-9;6.35851385352285e-10;1.0165399953091867e-5;3.256475026204888e-6
4-Chloroaniline;1.5502645813724058e-10;6.042980550197382e-10;1.6576563079282755e-10;3.2007932051202714e-10;7.035124981410314e-11;2.2536724044847076e-8;7.2133749350976016e-6;3.4720959720888097e-10;1.2229568100683506e-10;1.9551494871422657e-6;6.512950052409776e-7
4-Chloroaniline;2.2257459029558897e-10;8.676028184387027e-10;2.3799303552520794e-10;4.5954428993008936e-10;1.0100469811607701e-10;3.235642600081834e-8;1.0356386839506471e-5;4.984957714576005e-10;1.7558235814766103e-10;2.8070472698413835e-6;3.256475026204888e-7
4-Chloroaniline;6.683038535362832e-7;1.4283866716999952e-6;6.552991867996136e-7;9.242895574302692e-7;4.0439603013466013e-7;1.3523002879051157e-6;1.2907030534915054e-5;1.1218777659542547e-6;6.632637362813807e-7;2.9337570705121103e-6;1.3025900104819551e-5
4-Chloroaniline;4.981385036232578e-9;1.716693827312365e-8;4.962203635872293e-9;5.658968578472215e-9;2.5504451049430052e-9;1.3773250504681737e-8;1.4022222725809952e-5;5.816016524141833e-9;4.183420581505534e-9;7.539789819097904e-9;1.3025900104819551e-5
4-Chloroaniline;3.338025398597652e-7;7.134465803127514e-7;3.273070052855442e-7;4.616615633794661e-7;2.0198659824251188e-7;6.754431661096387e-7;6.446767517207321e-6;5.603523692197267e-7;3.312851161879202e-7;1.4653447773592994e-6;6.512950052409776e-6
4-Chloroaniline;3.1750332553016307e-9;1.0941856433988995e-8;3.162807421806692e-9;3.606911189692944e-9;1.6256017081826757e-9;8.778789045192516e-9;8.937478862578374e-6;3.7070103481701525e-9;2.666426981769494e-9;4.8057082998999895e-9;6.512950052409776e-6
4-Chloroaniline;1.5552870760393085e-7;3.3241635796750557e-7;1.5250224142440549e-7;2.151020969851918e-7;9.411167030415649e-8;3.147094169177757e-7;3.0037441314721152e-6;2.610851308206282e-7;1.5435576371219747e-7;6.827484881109853e-7;3.256475026204888e-6
4-Chloroaniline;1.3839611384354217e-9;4.769431646643256e-9;1.3786320356886319e-9;1.5722118525806373e-9;7.085814257039435e-10;3.8265750006813175e-9;3.8265750006813175e-9;1.6158439452811545e-9;1.1622654077977712e-9;2.094753974186737e-9;3.256475026204888e-6
4-Chloroaniline;2.9413502066048596e-8;6.286639542305601e-8;2.8841138477385652e-8;4.067998809710046e-8;1.779834637332657e-8;5.951766864988718e-8;5.680664076623718e-7;4.9376273699666654e-8;2.919167557424287e-8;1.29121011644904e-7;6.512950052409776e-7
4-Chloroaniline;1.2424410639469541e-8;2.6555080398294315e-8;1.2182641391977e-8;1.7183430786044034e-8;7.518110680909812e-9;2.5140561431603152e-8;2.399540967082731e-7;2.085678539447418e-8;1.2330710017941425e-8;5.454136223757495e-8;3.256475026204888e-7
5-Methyl-1H-benzotriazole;3.3104992849656653e-6;1.2904431302158588e-5;3.539828031972001e-6;6.034648801812197e-6;5.166608755110411e-6;2.5103903811550357e-6;1.625968764669541e-4;9.074183268943471e-6;9.074183268943471e-6;1.1941375618624627e-5;1.192357670700708e-5
5-Methyl-1H-benzotriazole;1.628616093093523e-6;6.348397230097349e-6;1.7414354764655887e-6;2.968774589208474e-6;2.5417381008067424e-6;1.2349986581370544e-6;7.99903177455504e-5;4.464088233033587e-6;4.464088233033587e-6;5.874617340800421e-6;5.96178835350354e-6
5-Methyl-1H-benzotriazole;8.444754564052951e-7;3.2917921363194536e-6;9.029749399045155e-7;1.5393789161349652e-6;1.3179505298049656e-6;3.046126205627525e-6;4.1476846736709245e-5;2.31473394129605e-6;2.31473394129605e-6;3.046126205627525e-6;2.98089417675177e-6
5-Methyl-1H-benzotriazole;1.5976351962958522e-7;6.227632710914269e-7;1.7083084350437494e-7;2.9123000771648714e-7;2.493387033835381e-7;5.76286545873751e-7;7.846867505185667e-6;4.3791686148191986e-7;4.3791686148191986e-7;5.76286545873751e-7;5.96178835350354e-7
5-Methyl-1H-benzotriazole;8.125184273499586e-8;3.167222622609393e-7;8.688041464588383e-8;1.4811250303920886e-7;1.2680760390130631e-7;2.930853295182225e-7;3.99072608047143e-6;2.2271387136831004e-7;2.2271387136831004e-7;2.930853295182225e-7;2.98089417675177e-7
5-Methyl-1H-benzotriazole;1.0508740177061256e-5;2.2460658165960434e-5;1.030424836828028e-5;1.3520141426202534e-5;1.2316101186287522e-5;1.19442305999381e-5;9.374040931875521e-5;1.6567262609979612e-5;1.2934219780739906e-5;1.19442305999381e-5;1.192357670700708e-5
5-Methyl-1H-benzotriazole;5.643626321020954e-6;1.9449166042144745e-5;5.621894883848368e-6;6.639946852929918e-6;6.3075423127465015e-6;9.505948371050812e-6;2.7313839316158497e-4;9.101071758908513e-6;6.052221493185913e-6;1.2819585583457225e-5;1.192357670700708e-5
5-Methyl-1H-benzotriazole;5.2521172032439446e-006;1.1225513920985656e-5;5.14991513822711e-6;6.757172237434369e-6;6.1554102420945976e-6;5.969554671299394e-6;4.68501083980405e-5;8.280079581229795e-6;6.46433702578792e-6;5.969554671299394e-6;5.96178835350354e-6
5-Methyl-1H-benzotriazole;3.2245878288847343e-6;1.111263229244291e-5;3.2121711797614776e-6;3.7938535594833577e-6;3.603928221842015e-6;7.324701759538925e-6;1.5606255412577486e-4;5.2000617252550395e-6;3.4580460601990006e-6;7.324701759538925e-6;5.96178835350354e-6
5-Methyl-1H-benzotriazole;2.6470778950883955e-6;5.657682152046223e-6;2.5955678436806788e-6;3.4056287342502266e-6;3.1023394483629387e-6;3.0086678576324133e-6;2.3612551191041665e-5;4.173177174246724e-6;3.2580391840448214e-6;3.0086678576324133e-6;2.98089417675177e-6
5-Methyl-1H-benzotriazole;1.6553603315647144e-6;5.704732403749517e-6;1.6489861747731145e-6;1.9475961020129603e-6;1.850096859761199e-6;3.7601769208055962e-6;8.011559152719034e-5;2.6694809874824663e-6;1.77520743007856e-6;3.7601769208055962e-6;2.98089417675177e-6
5-Methyl-1H-benzotriazole;5.609340768913328e-7;1.198901899030304e-6;5.500187414602808e-7;7.216762354541349e-7;6.574071423813993e-7;4.6468849215855234e-7;5.003662578261225e-6;8.843250477379307e-7;6.904009910584608e-7;6.375574857563095e-7;5.96178835350354e-7
5-Methyl-1H-benzotriazole;2.5692172142786064e-7;5.491268090344045e-7;2.5192222704083723e-7;3.3054561732817295e-7;3.0110877847829604e-7;2.1283885620702057e-7;2.2918015788512794e-6;4.05042807928068e-7;3.162207795990323e-7;2.920171433647139e-7;2.98089417675177e-7
9,10-Phenanthrenequinone;6.238776342183627e-7;2.4318948227193423e-6;6.670956094616523e-7;1.1132011409844798e-6;9.386366541170185e-7;7.2702355195073415e-6;3.632759391624126e-7;6.606767983975292e-7;6.606767983975292e-7;7.2702355195073415e-6;7.2778164414574705e-6
9,10-Phenanthrenequinone;3.1335655923524117e-7;1.2214738151722321e-6;3.35063758334177e-7;5.59130284759572e-7;4.714513490689437e-7;3.6516391392631245e-6;1.8246350262500542e-7;3.318397662576623e-7;3.318397662576623e-7;3.6516391392631245e-6;3.6389082207287352e-6
9,10-Phenanthrenequinone;1.5204831489261527e-7;5.92689158113224e-7;1.625811821543914e-7;2.713037755156713e-7;2.2875979795900588e-7;1.7718651847465e-6;8.853578227704847e-8;1.6101682184976733e-7;1.6101682184976733e-7;1.7718651847465e-6;1.8194541103643676e-6
9,10-Phenanthrenequinone;3.126234760184583e-8;1.2186162335220256e-7;3.342798921263451e-8;5.5782222524821966e-8;4.703484103834553e-8;3.643096297928402e-7;1.820366376767297e-8;3.310634424305871e-8;3.310634424305871e-8;3.643096297928402e-7;3.638908220728735e-7
9,10-Phenanthrenequinone;1.6179968760383257e-8;6.307003184916963e-8;1.7300806326871005e-8;2.8870340427763555e-8;2.4343093754260792e-8;1.8855008920721336e-7;9.421388145146175e-9;1.71343375246572e-8;1.71343375246572e-8;1.8855008920721336e-7;1.8194541103643675e-7
9,10-Phenanthrenequinone;3.212115055832503e-7;6.865353700177246e-7;3.149609826212916e-7;3.9227095394970607e-7;3.611381125018139e-7;7.2173238532216765e-6;1.9869756869805424e-7;2.248121203220547e-7;2.248121203220547e-7;7.2173238532216765e-6;7.2778164414574705e-6
9,10-Phenanthrenequinone;1.1071578111744226e-6;3.81550706576431e-6;1.1028945717171864e-6;1.5431147069808583e-6;1.4274898226028954e-6;3.830851654518902e-6;5.558559398288832e-7;7.068826020998083e-7;9.76450670769461e-7;5.168138298280112e-6;7.2778164414574705e-6
9,10-Phenanthrenequinone;1.5858448818961527e-7;3.3894757312829657e-7;1.5549855892615445e-7;1.936670616789081e-7;1.7829654835331113e-7;3.563245990468483e-6;9.809845441023632e-8;1.1099140105632106e-7;1.1099140105632106e-7;3.563245990468483e-6;3.6389082207287352e-6
9,10-Phenanthrenequinone;1.940377359729981e-8;6.686963187700873e-8;1.9329057118416336e-8;2.704424618307921e-8;2.5017833095405562e-8;5.975908937302062e-9;9.741793536833718e-9;1.2388649416170706e-8;1.7113032625804468e-8;9.057551186220478e-8;3.6389082207287352e-6
9,10-Phenanthrenequinone;6.50561757159577e-8;1.3904659357078183e-7;6.379023376474567e-8;7.944811336094669e-8;7.314266175486717e-8;1.4617517761127364e-6;4.024296676447648e-8;4.553204523664878e-8;4.553204523664878e-8;1.4617517761127364e-6;1.8194541103643676e-6
9,10-Phenanthrenequinone;1.487587998607876e-8;5.126552386975258e-8;1.4818598686269756e-8;2.0733439220783276e-8;1.917989203351619e-8;4.581423490295292e-9;7.46853444647811e-9;9.497743363188169e-9;1.3119686140573355e-8;6.943960860929193e-8;1.8194541103643676e-6
9,10-Phenanthrenequinone;1.5158106340909602e-8;3.239789348961305e-8;1.4863141527704581e-8;1.8511431661275334e-8;1.7042259750683487e-8;3.405885547756742e-7;9.376622018991442e-9;1.060897871755677e-8;1.060897871755677e-8;3.405885547756742e-7;3.638908220728735e-7
