Compound_name;Filename;Dilution;Concnetration;SMILES;ret_time;Peak_Area;conc_M;MW;IC;Peak_Area_IC;slope;intercept;pH;mode
Ampicillin;2021062101-pH10-E-001ppm-FS;10;0.002046478;CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C;3.3042387;92173.1333553955;2.046478e-8;349.405;127.5043240761624;11752473.066461682;1553223578012503.5;-24879889.053662173;10;positive
Ampicillin;2021062101-pH10-E-005ppm-FS;50;0.002046478;CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C;3.3042387;982941.0569335299;1.023239e-7;349.405;127.5043240761624;125329235.0710184;1553223578012503.5;-24879889.053662173;10;positive
Ampicillin;2021062101-pH10-E-01ppm-FS;100;0.002046478;CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C;3.3042387;2328240.143147057;2.046478e-7;349.405;127.5043240761624;296860685.7389531;1553223578012503.5;-24879889.053662173;10;positive
Ampicillin;2021062101-pH10-E-05ppm-FS;500;0.002046478;CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C;3.3042387;18756975.78630085;1.023239e-6;349.405;127.5043240761624;2391595519.3452344;1553223578012503.5;-24879889.053662173;10;positive
Ampicillin;2021062101-pH10-E-1ppm-FS;1000;0.002046478;CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C;3.3042387;37373427.146126166;2.046478e-6;349.405;127.5043240761624;4765273566.676517;1553223578012503.5;-24879889.053662173;10;positive
Danofloxacin;2021062101-pH10-E-001ppm-FS;10;0.003227214;CN1CC2CC1CN2C3=C(C=C4C(=C3)N(C=C(C4=O)C(=O)O)C5CC5)F;4.2297043;577184.985824657;3.2272140000000004e-8;357.379;125.0815473900616;72195191.15725887;6569716998030217;-193742139.65888065;10;positive
Danofloxacin;2021062101-pH10-E-005ppm-FS;50;0.003227214;CN1CC2CC1CN2C3=C(C=C4C(=C3)N(C=C(C4=O)C(=O)O)C5CC5)F;4.2297043;6150377.114975695;1.613607e-7;357.379;125.0815473900616;769298686.5735826;6569716998030217;-193742139.65888065;10;positive
Danofloxacin;2021062101-pH10-E-01ppm-FS;100;0.003227214;CN1CC2CC1CN2C3=C(C=C4C(=C3)N(C=C(C4=O)C(=O)O)C5CC5)F;4.2297043;15746374.84043458;3.227214e-7;357.379;125.0815473900616;1969580930.8254914;6569716998030217;-193742139.65888065;10;positive
Danofloxacin;2021062101-pH10-E-05ppm-FS;500;0.003227214;CN1CC2CC1CN2C3=C(C=C4C(=C3)N(C=C(C4=O)C(=O)O)C5CC5)F;4.2297043;93013139.4907474;1.613607e-6;357.379;125.0815473900616;11634227415.110332;6569716998030217;-193742139.65888065;10;positive
Danofloxacin;2021062101-pH10-E-1ppm-FS;1000;0.003227214;CN1CC2CC1CN2C3=C(C=C4C(=C3)N(C=C(C4=O)C(=O)O)C5CC5)F;4.2297043;173787890.8105525;3.227214e-6;357.379;125.0815473900616;21737658300.238976;6569716998030217;-193742139.65888065;10;positive
ketoprofen;2021062101-pH10-E-001ppm-FS;10;0.003667363;CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O;4.7404088;190900.908941343;3.667363e-8;254.281;119.70740532609857;22852252.48376198;853806387487660.9;-20408348.22478139;10;positive
ketoprofen;2021062101-pH10-E-005ppm-FS;50;0.003667363;CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O;4.7404088;957713.443899092;1.8336815e-7;254.281;119.70740532609857;114645391.41508237;853806387487660.9;-20408348.22478139;10;positive
ketoprofen;2021062101-pH10-E-01ppm-FS;100;0.003667363;CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O;4.7404088;2525091.771433257;3.667363e-7;254.281;119.70740532609857;302272184.1685571;853806387487660.9;-20408348.22478139;10;positive
ketoprofen;2021062101-pH10-E-05ppm-FS;500;0.003667363;CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O;4.7404088;20322725.708812345;1.8336815e-6;254.281;119.70740532609857;2432780763.7559233;853806387487660.9;-20408348.22478139;10;positive
ketoprofen;2021062101-pH10-E-1ppm-FS;1000;0.003667363;CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O;4.7404088;36265374.29515948;3.667363e-6;254.281;119.70740532609857;4341233860.053332;853806387487660.9;-20408348.22478139;10;positive
Ofloxacin;2021062101-pH10-E-001ppm-FS;10;0.002196399;CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O;3.753712;892120.662337149;2.196399e-8;361.368;124.035130061438;110654302.38348448;18867064760687672;-411145678.7376397;10;positive
Ofloxacin;2021062101-pH10-E-005ppm-FS;50;0.002196399;CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O;3.753712;11831384.401358671;1.0981995e-7;361.368;124.035130061438;1467507303.0293915;18867064760687672;-411145678.7376397;10;positive
Ofloxacin;2021062101-pH10-E-01ppm-FS;100;0.002196399;CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O;3.753712;30787549.4967613;2.196399e-7;361.368;124.035130061438;3818737706.103748;18867064760687672;-411145678.7376397;10;positive
Ofloxacin;2021062101-pH10-E-05ppm-FS;500;0.002196399;CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O;3.753712;143733395.3915075;1.0981995e-6;361.368;124.035130061438;17827990391.557728;18867064760687672;-411145678.7376397;10;positive
Ofloxacin;2021062101-pH10-E-1ppm-FS;1000;0.002196399;CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O;3.753712;241228552.824291;2.196399e-6;361.368;124.035130061438;29920814924.0934;18867064760687672;-411145678.7376397;10;positive
imidazole;2021062101-pH10-E-001ppm-FS;10;0.017339327;C1=CN=CN1;1.9088678;17340655.0073864;1.7339327000000002e-7;68.077;103.97537808876712;1803001160.6998737;3651112008001228;1049954705.7042212;10;positive
imidazole;2021062101-pH10-E-005ppm-FS;50;0.017339327;C1=CN=CN1;1.9088678;38464906.4193073;8.669663500000001e-7;68.077;103.97537808876712;3999403188.096522;3651112008001228;1049954705.7042212;10;positive
imidazole;2021062101-pH10-E-01ppm-FS;100;0.017339327;C1=CN=CN1;1.9088678;71908483.6141759;1.7339327000000003e-6;68.077;103.97537808876712;7476711771.573854;3651112008001228;1049954705.7042212;10;positive
imidazole;2021062101-pH10-E-05ppm-FS;500;0.017339327;C1=CN=CN1;1.9088678;263765089.317593;8.669663500000001e-6;68.077;103.97537808876712;27425074888.41416;3651112008001228;1049954705.7042212;10;positive
imidazole;2021062101-pH10-E-1ppm-FS;1000;0.017339327;C1=CN=CN1;1.9088678;445385836.585969;1.7339327000000002e-5;68.077;103.97537808876712;46309160754.40797;3651112008001228;1049954705.7042212;10;positive
2,6-Diaminopyridin;2021062101-pH10-E-05ppm-FS;500;0.008915001;C1=CC(=NC(=C1)N)N;2.9381847;43677261.715082;4.457500500000001e-6;109.129;106.6208335262895;4656906050.207935;1430237553433038;-1718378559.3386085;10;positive
2,6-Diaminopyridin;2021062101-pH10-E-1ppm-FS;1000;0.008915001;C1=CC(=NC(=C1)N)N;2.9381847;103471247.549704;8.915001000000001e-6;109.129;106.6208335262895;11032190659.75448;1430237553433038;-1718378559.3386085;10;positive
dazomet;2021062101-pH10-E-001ppm-FS;10;0.008062103;CN1CN(C(=S)SC1)C;4.5245437;145081.999316862;8.062103000000001e-8;162.276;117.58203400396947;17059036.57703914;347750978808344.9;-15952734.398234073;10;positive
dazomet;2021062101-pH10-E-005ppm-FS;50;0.008062103;CN1CN(C(=S)SC1)C;4.5245437;980346.74318216;4.0310515000000005e-7;162.276;117.58203400396947;115271164.09252545;347750978808344.9;-15952734.398234073;10;positive
